Document,Tag,Content
Albania,access/use,Journalists have the right to seek information and the right of access to public information
Albania,accuracy,"Journalists and news media shall at all times strive to publish information that is to the best of their knowledge truthful, balanced and verified"
Albania,truth/facts,"Journalists and news media shall at all times strive to publish information that is to the best of their knowledge truthful, balanced and verified"
Albania,fairness,"Journalists and news media shall at all times strive to publish information that is to the best of their knowledge truthful, balanced and verified"
Albania,verification,"A journalist must verify information prior to its publication in order to ensure that it is accurate, fact-based and trustworthy"
Albania,source/reliability,All data and information must be subject to careful scrutiny: whether it is obtained from human sources or documents.
Albania,data,All data and information must be subject to careful scrutiny: whether it is obtained from human sources or documents.
Albania,verification,All data and information must be subject to careful scrutiny: whether it is obtained from human sources or documents.
Albania,distortion/manipulation,"Media should not mislead the public. They should clearly indicate where manipulated texts, documents, images and sounds have been used."
Albania,distortion/manipulation,"Media shall not publish any photos, image, audio, or visual arrangements that distort the ideas or facts of the source"
Albania,fairness,Journalists shall strive to provide unbiased and balanced reporting.
Albania,source/disclosure,Journalists shall refer to all available sources and interested parties
Albania,truth/facts,"Journalists shall make every effort to contact all sides and gather all relevant opinions. Mere contacts with both sides do not release' a journalist from the obligation to present both sides of a story, and to report as truthfully as possible."
Albania,data,News relates to information supported by facts and data
Albania,truth/facts,News relates to information supported by facts and data
Albania,source/reliability,"Journalists shall strive to gather information from all available sources in order to provide accurate, complete, and impartial information."
Albania,transparency,Journalists shall be transparent in their work and use methods for gathering information that are ethical and lawful.
Albania,distortion/manipulation,Media shall not distort or misuse statements made in a specific context.
Albania,data,They shall not use any information or data collected during their job for their own personal benefit.
Albania,privacy,A journalist must respect the right of an individual to privacy. Only the protection of the public interest can justify journalistic investigations which interfere with the private aspects of the lives of individuals.
Albania,access/use,Journalists will use fair methods in the collection of information.
Austria,accuracy,The Austrian Press Council (Österreichischer Presserat) is the platform for all those who support the idea that the use of the freedom of the press should be guided by the principles of truthfulness and accuracy
Austria,truth/facts,The Austrian Press Council (Österreichischer Presserat) is the platform for all those who support the idea that the use of the freedom of the press should be guided by the principles of truthfulness and accuracy
Austria,accuracy,"It is the prime duty of journalists to aim at a maximum of conscientiousness and accuracy in their investigations, the presentation of news items, and comments in them"
Austria,source/disclosure,Quoting from anonymous sources should be avoided
Austria,privacy,The privacy of all individuals shall in principle be protected.
Austria,access/use,No unfair or improper methods shall be used in obtaining oral or procuring written evidence
Austria,distortion/manipulation,"Unfair or improper methods shall include misrepresentation,"
Belgium - Flanders,fairness,The journalist is duty bound to respect human rights and to self-impose high standards regards to: (I) to report information truthfully and faithfully (II) gathering and sharing information independently (III) to be fair and (IV) to show respect for privacy and human dignity.
Belgium - Flanders,privacy,The journalist is duty bound to respect human rights and to self-impose high standards regards to: (I) to report information truthfully and faithfully (II) gathering and sharing information independently (III) to be fair and (IV) to show respect for privacy and human dignity.
Belgium - Flanders,truth/facts,The journalist is duty bound to respect human rights and to self-impose high standards regards to: (I) to report information truthfully and faithfully (II) gathering and sharing information independently (III) to be fair and (IV) to show respect for privacy and human dignity.
Belgium - Flanders,truth/facts,The journalist must report information faithfully. This comes from the public's right to know the truth.
Belgium - Flanders,access/use,"The journalist must publish only information of which the source is known to him and must check the truthfulness of said information, even if this causes a delay. Where possible and when relevant, he must provide the source of said information."
Belgium - Flanders,source/disclosure,"The journalist must publish only information of which the source is known to him and must check the truthfulness of said information, even if this causes a delay. Where possible and when relevant, he must provide the source of said information."
Belgium - Flanders,source/reliability,"The journalist must publish only information of which the source is known to him and must check the truthfulness of said information, even if this causes a delay. Where possible and when relevant, he must provide the source of said information."
Belgium - Flanders,graphics/visualisation,"The journalist does not omit or change any essential information in texts, images, audio(visual) recordings or other documents."
Belgium - Flanders,truth/facts,The journalist must always promptly rectify any relevant factual inaccuracies or distortions reported by him
Belgium - Flanders,accuracy,The journalist must always promptly rectify any relevant factual inaccuracies or distortions reported by him
Belgium - Flanders,distortion/manipulation,The journalist must always promptly rectify any relevant factual inaccuracies or distortions reported by him
Belgium - Flanders,fairness,"The journalist always offers the other party a chance to respond, to correct factual information or to add to it."
Belgium - Flanders,access/use,"The journalist must employ only staunch methods in acquiring and processing information, audio(visual) recordings and documents.*"
Belgium - Flanders,privacy,The journalist must respect the right to privacy and must not probe further than public interest requires.
Belgium - Flanders,distortion/manipulation,"The journalist does not omit or change any essential information in texts, images, audio(visual) recordings"
Belgium - Flanders,responsibility,The editor in chief or the person undertaking the editorial tasks is responsible for the total journalistic product.
Belgium - Flanders,transparency,the journalist is transparent about the external financing or support.
Belgium - Flanders 2023,transparency,"The journalist is transparent about his assignment, approach and way of working"
Belgium - Flanders 2023,responsibility,"The editors are responsible for these editorial choices, with final responsibility resting with the chief editors."
Belgium - Flanders 2023,transparency,Editors communicate transparently about automated news production and personalisation of news offerings so that it is clear to users when news items have been created or selected based on artificial intelligence.
Belgium - French,source/disclosure,Journalists do not have an absolute right to disclose everything.
Belgium - French,verification,disseminating verified information
Belgium - French,fairness,acting with loyalty
Belgium - French,privacy,respecting the rights of persons
Belgium - French,truth/facts,Inform with respect for the truth
Belgium - French,truth/facts,Journalists shall seek and respect the truth because of the public's right to know the truth
Belgium - French,verification,They shall verify the truthfulness of the information and report it honestly
Belgium - French,source/disclosure,"As far as possible and as far as relevant, they shall make known the sources of their information unless it is justified to protect their anonymity"
Belgium - French,source/reliability,"As far as possible and as far as relevant, they shall make known the sources of their information unless it is justified to protect their anonymity"
Belgium - French,graphics/visualisation,"Journalists shall not distort any information and shall not eliminate any essential information presented in text, image, sound or other form."
Belgium - French,distortion/manipulation,"Journalists shall not distort any information and shall not eliminate any essential information presented in text, image, sound or other form."
Belgium - French,verification,verifying their sources
Belgium - French,truth/facts,Editors shall explicitly and promptly rectify any erroneous facts they have disseminated.
Belgium - French,truth/facts,The facts are binding
Belgium - French,access/use,"Journalists shall use fair methods to collect and process information, photos, images and documents"
Belgium - French,fairness,"Journalists shall use fair methods to collect and process information, photos, images and documents"
Belgium - French,access/use,"the methods used are authorised or, where appropriate, validated by the editor-in-chief, except in the case of unforeseeable exceptions"
Belgium - French,source/disclosure,"Journalists shall not engage in plagiarism. When they pass on exclusive information previously published by another medium, they shall mention the source."
Belgium - French,privacy,Journalists shall respect the privacy of individuals and shall not reveal any personal data that are not relevant to the general interest.
Belgium - French,discrimination/stereotypes,"When reporting on these characteristics, journalists shall avoid stereotypes, generalisations, exaggerations and stigmatisation. They shall refrain from even indirect incitement to discrimination, racism and xenophobia."
Belgium - French,responsibility,The term editorial staff refers to those responsible and all members of the group or department responsible for the collection and processing of journalistic content within a media outlet.
Bulgaria,privacy,protection of personal dignity and privacy
Bulgaria,truth/facts,We shall supply the public with accurate and verified information and we shall not deliberately suppress or distort facts.
Bulgaria,verification,We shall supply the public with accurate and verified information and we shall not deliberately suppress or distort facts.
Bulgaria,accuracy,We shall supply the public with accurate and verified information and we shall not deliberately suppress or distort facts.
Bulgaria,distortion/manipulation,We shall supply the public with accurate and verified information and we shall not deliberately suppress or distort facts.
Bulgaria,accuracy,We shall not publish information we know to be inaccurate
Bulgaria,graphics/visualisation,"We shall not mislead the public, and we will clearly indicate where manipulated texts, documents, images, and sounds have been used."
Bulgaria,verification,We shall endeavour to verify information
Bulgaria,source/reliability,"We prefer to use identified sources rather than anonymous sources, as the latter's honesty and reliability cannot be assessed by the public."
Bulgaria,access/use,We shall gather information by fair and legal means.
Bulgaria,privacy,We respect the inviolability of everyone's private life.
Bulgaria,access/use,We respect copyright and the terms of copyright agreements.
Bulgaria,source/disclosure,We shall always acknowledge the source of short extracts of material from other media which may be in use without their express permission
Croatia,truth/facts,"By presenting his/her own and critical viewpoint in the search for truth, as a basic principle in professional work"
Croatia,accuracy,"The journalist is obliged to present accurate, complete and verified information."
Croatia,verification,"The journalist is obliged to present accurate, complete and verified information."
Croatia,responsibility,"He/she has the right not to disclose the source of the information, but is responsible for the published information."
Croatia,source/disclosure,"He/she has the right not to disclose the source of the information, but is responsible for the published information."
Croatia,access/use,"A journalist has the right to investigate freely all facts of public interest as well as the right of access to all related sources of information. If he/she is unjustifiably denied the requested information which is of public interest, he/she shall have the right to inform the public of such events."
Croatia,source/disclosure,The journalist respects the authorship of other journalists and other participants in the public informing systems. In its appendices it lists the sources he/she used.
Croatia,discrimination/stereotypes,"It is inadmissible to use stereotypes, pejorative expressions, degrading portrayal, as well as any other form of direct or indirect incitement or support for discrimination."
Croatia,objectivity,"A journalist must not engage in activities that might jeopardize his independence, objectivity and independence of judgment,"
Croatia,objectivity,"A journalist, like any citizen, has the right to political and other choices. However, in his/her work, he/she takes a professional distance from current events, which is one of the preconditions for objective and professional event reporting."
Croatia,responsibility,"The editor is responsible for all textual, visual and audio appendages of the journalistic report."
Cyprus,truth/facts,"Respect for the truth and the citizen's right to objective, full and reliable information in an obligation of all media and journalists."
Cyprus,objectivity,"Respect for the truth and the citizen's right to objective, full and reliable information in an obligation of all media and journalists."
Cyprus,transparency,Respect for the journalist's right to unobstructed access to the sources of news and transparency are necessary prerequisites for proper information
Cyprus,access/use,Respect for the journalist's right to unobstructed access to the sources of news and transparency are necessary prerequisites for proper information
Cyprus,access/use,access
Cyprus,distortion/manipulation,"The Media ensure that no inaccurate, misleading, imaginary or distorted news, information or comments are published."
Cyprus,accuracy,"The Media ensure that no inaccurate, misleading, imaginary or distorted news, information or comments are published."
Cyprus,privacy,The reputation and private life of every individual is respected. I
Cyprus,access/use,The Media and their functionaries respect and implement the legislation in force at any particular time and conventions concerning the protection of copyright.
Cyprus,source/disclosure,"Where permitted, reproduction is done with due respect to the author/creator. The Media and journalist must give due credit to the source."
Cyprus,source/reliability,"A journalist is not obliged to reveal the source of his information. At the same time, it is the duty of a journalist to make sure that his sources and their information are reliable."
Cyprus,transparency,"the journalists' right to unobstructed access to sources of news and the principles of transparency and honesty,"
Cyprus,discrimination/stereotypes,"Do not use standardized archival images (i.e. women wearing a headscarf or a veil, men in praying posture) for stories about migrants. Not all migrants are Muslims or practicing Muslims, whereas the use of stereotypes may conjure up negative associations."
Denmark,accuracy,It is the duty of the media to publish information correctly and promptly.
Denmark,accuracy,As far as possible it should be verified whether the information given or reproduced is correct.
Denmark,verification,The sources of news should be treated critically
Denmark,source/reliability,The sources of news should be treated critically
Denmark,privacy,nformation which may violate the sanctity of private life shall be avoided unless an obvious public interest
Denmark,objectivity,Court reporting should be objective.
Estonia,truth/facts,"The press and other media shall serve the right of the public to receive true, fair and comprehensive information."
Estonia,fairness,"The press and other media shall serve the right of the public to receive true, fair and comprehensive information."
Estonia,responsibility,A journalist shall be responsible for his or her own statements and work.
Estonia,distortion/manipulation,"Media organisations shall undertake to prevent the publication of inaccurate, distorted or misleading information."
Estonia,access/use,It is also recommended that the journalist specify the intended use of the information being gathered.
Estonia,source/reliability,"The editors shall, especially in the case of controversial materials, confirm the accuracy of the information and the reliability of the sources."
Estonia,truth/facts,The editors shall also verify the accuracy of all significant facts if the author of the material to be disseminated is not a member of the regular editorial staff.
Estonia,accuracy,The editors shall also verify the accuracy of all significant facts if the author of the material to be disseminated is not a member of the regular editorial staff.
Estonia,access/use,"A journalist shall use honest means of obtaining audio or video recordings and information, with the exception of cases where the public has a right to know information that cannot be obtained in an honest way."
Estonia,verification,"News, opinion and speculation shall be clearly distinguishable. News material shall be based on verifiable factual evidence."
Estonia,privacy,Materials violating the privacy of an individual can only be disseminated if public interest outweighs the right to privacy.
Estonia,distortion/manipulation,"Photographs, captions, headlines, leads and broadcast leadins may not mislead the audience."
Estonia,graphics/visualisation,"Photographs, captions, headlines, leads and broadcast leadins may not mislead the audience."
Finland,source/disclosure,Sources must be mentioned when information has been published by other parties.
Finland,truth/facts,The journalist must aim to provide truthful information.
Finland,verification,"Information obtained must be checked as thoroughly as possible, including when it has been published previously."
Finland,source/disclosure,Information sources must be approached critically.
Finland,verification,Information sources must be approached critically.
Finland,privacy,Highly delicate matters concerning people's personal lives may only be published with the consent of the person in question
Finland,privacy,The right to privacy also applies when publishing public documents or other public sources.
Finland,access/use,The public availability of information does not necessarily imply that it can be freely published. Particular discretion should be used when an issue concerns minors.
France,verification,"The concept of urgency in the dissemination of information, or of exclusivity, must not take away from the serious nature of the enquiry and the verification of sources."
France,access/use,"A journalist must accomplish all the activities of his profession (enquiry, investigations, taking photos and recording sounds etc.) freely, have access to all sources of information with regard to the facts which condition public life, and have the guarantee that his sources' confidentiality will be protected."
France,responsibility,"Takes responsibility for all his professional productions, even if anonymous;"
France,verification,"Upholds critical thinking, veracity, accuracy, integrity, fairness and impartiality as the pillars of journalistic"
France,truth/facts,"Upholds critical thinking, veracity, accuracy, integrity, fairness and impartiality as the pillars of journalistic"
France,accuracy,"Upholds critical thinking, veracity, accuracy, integrity, fairness and impartiality as the pillars of journalistic"
France,fairness,"Upholds critical thinking, veracity, accuracy, integrity, fairness and impartiality as the pillars of journalistic"
France,distortion/manipulation,"distortion of the facts, misuse of images, lies, manipulation, censorship and self-censorship or failure to verify the facts as constituting the most serious professional abuses;"
France,access/use,"Has author copyright, which is also a duty, on information which he disseminates"
Germany,data,"From research to editing, publishing, documenting and storing these data,"
Germany,truth/facts,Respect for the truth
Germany,accuracy,accurate informing of the public are the overriding principles of the Press
Germany,graphics/visualisation,"The publication of specific information in word, picture and graphics must be carefully checked in respect of accuracy"
Germany,distortion/manipulation,"Its sense must not be distorted or falsified by editing, title or picture captions"
Germany,surveys/polls,"When publishing the results of opinion polls, the Press shall give the number of respondents, the date of the poll, the identity of the person or organisation that commissioned it, and the questions asked. At the same time, it must also state whether the results are representative."
Germany,graphics/visualisation,SYMBOLIC PHOTOGRAPHS
Germany,graphics/visualisation,must be clearly marked as such either in the caption or in the accompanying text.
Germany,verification,"Anyone who further distributes advance reports by Press organs by stating the source must, basically, be able to rely on their validity."
Germany,source/reliability,"Anyone who further distributes advance reports by Press organs by stating the source must, basically, be able to rely on their validity."
Germany,graphics/visualisation,The duty of care requires misleading distortions be excluded in graphical representations.
Germany,distortion/manipulation,The duty of care requires misleading distortions be excluded in graphical representations.
Germany,ugc,"When taking over user-generated content (Guideline 2.7) in the form of readers' letters, pseudonyms may be retained. However, the source must be indicated."
Germany,ugc,"The Press bears responsibility for all its publications, including user-generated content. User-generated content must be clearly marked as such."
Germany,ugc,"Editors shall ensure compliance with journalistic principles if they detect violations through user-generated content or if such violations are pointed out to them by third parties. In the event that editors select or edit individual user-generated content, compliance with journalistic principles must be ensured from the outset."
Germany,truth/facts,The true facts are to be published even if the error has already been publicly admitted in another way.
Germany,privacy,Personal data gathered in violation of the Press Code are to be blocked or deleted by the publication involved.
Germany,data,Personal data gathered in violation of the Press Code are to be blocked or deleted by the publication involved.
Germany,privacy,"All person-related data gathered, processed and used for journalistic-editorial purposes are subject to editorial secrecy."
Germany,data,"All person-related data gathered, processed and used for journalistic-editorial purposes are subject to editorial secrecy."
Germany,privacy,"The private address as well as other private locations, such as hospitals, care facilities, rehabilitation centres enjoy special protection"
Germany,privacy,"If a press report has a negative effect on someone's personal rights, on request the affected person must be given information about the respective personal data stored by the responsible publication organ. The information may be declined if:"
Greece,transparency,Consider the disclosure of the whole truth as their foremost duty towards society and themselves;
Greece,distortion/manipulation,"b. Consider distortion, concealment, falsification and fabrication of real events an affront against society and an act demeaning to themselves act; c."
Greece,graphics/visualisation,"the accurate use of photographs, images and graphic depictions or other representations"
Greece,fairness,"Disseminate information and news unbiased by their personal political, social, religious, racial and cultural views or beliefs; e. Investigate, with a sense of responsibility and awareness of the consequences,"
Greece,accuracy,the accuracy of the information or the news which they are to report
Greece,privacy,"Respect the individuality, dignity and inviolable privacy of people and citizens"
Greece,transparency,Transparency in financial relationships
Greece,source/disclosure,Cite the source of information which has already been published or reported;
Hungary,fairness,"The signatories of these Ethical Guidelines declare that they acknowledge the obligation to disseminate accurate, fair, and factual information based on their best professional knowledge."
Hungary,accuracy,"The signatories of these Ethical Guidelines declare that they acknowledge the obligation to disseminate accurate, fair, and factual information based on their best professional knowledge."
Hungary,truth/facts,"The signatories of these Ethical Guidelines declare that they acknowledge the obligation to disseminate accurate, fair, and factual information based on their best professional knowledge."
Hungary,accuracy,"accurately, with a conviction of the truthfulness of the content published;"
Hungary,fairness,"impartially, using equal standards to report on actors and cases"
Hungary,privacy,"airly, respecting the private sphere, human dignity and rights;"
Hungary,distortion/manipulation,"free from manipulation, presenting events and processes rather than influencing them;"
Hungary,source/disclosure,"The source of information must be disclosed to the audience in a form either connected to a person or an institution, or indirectly, referring to the nature of the source."
Hungary,transparency,although anonymity is possible if the information cannot be otherwise obtained (see below for detailed rules).
Hungary,access/use,"herefore, the journalists need to inform the source as to why they need the information, when, and in what format this information is expected to be published. It is the responsibility of the journalist to inform his or her source of these rules."
Hungary,access/use,"The journalist will do everything to become informed of data, decisions, and documents of public interest through official channels, complying with the provisions of effective media content laws on the obligation to inform, or the laws on the publishing of public-interest data."
Hungary,data,"The journalist will do everything to become informed of data, decisions, and documents of public interest through official channels, complying with the provisions of effective media content laws on the obligation to inform, or the laws on the publishing of public-interest data."
Hungary,access/use,"The journalist must avoid topics, contact sources, and information obtained from sources which inhibit the obtaining and processing of information in an unbiased manner (due to personal connection, bias, or interest)."
Hungary,responsibility,The editorial board is exclusively responsible for the content of the media outlet.
Hungary,transparency,The resource must be unambiguously indicated in cases of reporting primary sources from other editorial boards.
Hungary,privacy,"The journalist ensures that the actors' personal data, or details of private lives are not published gratuitously (i.e. cannot be justified by public interest or reasonable private interest or is against persons' will) neither in the content nor in other ways, so long as this might affect them adversely in any ways, and the piece of information is not related to their public figure nature."
Hungary,data,"The journalist ensures that the actors' personal data, or details of private lives are not published gratuitously (i.e. cannot be justified by public interest or reasonable private interest or is against persons' will) neither in the content nor in other ways, so long as this might affect them adversely in any ways, and the piece of information is not related to their public figure nature."
Hungary,truth/facts,"If there is no doubt about the incorrectness of the published information (false information, or unfairly represented facts), then the error must be recognized and it must be corrected"
Hungary,fairness,"If there is no doubt about the incorrectness of the published information (false information, or unfairly represented facts), then the error must be recognized and it must be corrected"
International,truth/facts,Respect for the facts and for the right of the public to truth is the first duty of the journalist.
International,accuracy,Respect for the facts and for the right of the public to truth is the first duty of the journalist.
International,source/reliability,The journalist shall report only in accordance with facts of which he/ she knows the origin.
International,distortion/manipulation,The journalist shall not suppress essential information or falsify any document.
International,truth/facts,The journalist shall not suppress essential information or falsify any document.
International,fairness,"The journalist shall use only fair methods to obtain information,"
International,access/use,"The journalist shall use only fair methods to obtain information,"
International,data,"The journalist shall use only fair methods to obtain information, images, documents and data"
International,access/use,He/she will demand free access to all sources of information and the right to freely investigate all facts of public interest.
International,truth/facts,"he notion of urgency or immediacy in the dissemination of information shall not take precedence over the verification of facts, sources and/or the offer of a reply."
International,transparency,"The journalist shall do the utmost to rectify any errors or published information which is found to be inaccurate in a timely, explicit, complete and transparent manner."
International,privacy,The journalist will respect privacy.
International,distortion/manipulation,The journalist will consider serious professional misconduct to be plagiarism distortion of facts
Ireland,accuracy,"In reporting news and information, the press shall strive at all times for truth and accuracy."
Ireland,truth/facts,"In reporting news and information, the press shall strive at all times for truth and accuracy."
Ireland,distortion/manipulation,"When a significant inaccuracy, misleading statement or distorted report or picture has been published, it shall be corrected promptly and with due prominence."
Ireland,fairness,The press shall strive at all times for fair procedures and honesty in the procuring and publishing of news and information.
Ireland,distortion/manipulation,"The press shall not obtain information, photographs or other material through misrepresentation or subterfuge, unless justified by the public interest."
Ireland,verification,must take reasonable care in checking facts before publication
Ireland,privacy,"Privacy is a human right, protected as a personal right in the Irish Constitution and the European Convention on Human Rights, which is incorporated into Irish law. The private and family life, home and correspondence of everyone must be respected."
Italy,truth/facts,The respect of the truth of facts is an unbreakable duty.
Italy,accuracy,diffuses every piece of information that he considers of public interest in observance of truth and accuracy.
Italy,truth/facts,diffuses every piece of information that he considers of public interest in observance of truth and accuracy.
Italy,privacy,"A journalist has to respect people, his dignity and his right of secrecy"
Italy,transparency,"A journalist has to observe the professional secrecy, when it is required by the fiduciary character of his sources. In any other cases a journalist has to respect the transparency of the sources."
Italy,transparency,"A journalist respects the right of secrecy of every person, and he cannot publish news of their private life, unless they are transparent and of relevant public interest."
Italy,privacy,"A journalist respects the right of secrecy of every person, and he cannot publish news of their private life, unless they are transparent and of relevant public interest."
Italy,truth/facts,A journalist respects the inviolable people's right to the rectification of incorrect news or wrong facts that are considered prejudicial to people's interests.
Italy,verification,A journalist has to check all information obtained from his sources.
Italy,transparency,"In any other case a journalist must always respect the principle of more transparency of the sources of information, giving the readers or the audience the maximum and possible attention to them."
Italy,source/disclosure,"In any other case a journalist must always respect the principle of more transparency of the sources of information, giving the readers or the audience the maximum and possible attention to them."
Kosovo,discrimination/stereotypes,"Journalists AND editors will not encourage , intentionally or indirectly , discrimination AND intolerance"
Kosovo,transparency,"The media will show TRANSPARENCY IN ownership issues AND THE management , enabling thus citizen THE they know who ARE owners AND WHAT IS interest their economic in the media."
Kosovo,truth/facts,During LABOR their journalists AND editors they must respect it THE TRUTH FACTUAL AND THE public right to know THE the truth .
Kosovo,data,"INFORMATION THE MADE UP BY FACTS AND THE data ,"
Kosovo,truth/facts,"INFORMATION THE MADE UP BY FACTS AND THE data ,"
Kosovo,distortion/manipulation,"It is forbidden THAT photographs , images , audios or videos AND DOCUMENTS THE are falsified and /or to USE ABOUT PURPOSES misinformation ."
Kosovo,graphics/visualisation,"It is forbidden THAT photographs , images , audios or videos AND DOCUMENTS THE are falsified and /or to USE ABOUT PURPOSES misinformation ."
Kosovo,distortion/manipulation,The media does not MUST THE distort or misuse the statements made IN contexts THE certain .
Kosovo,truth/facts,"Media MUST THE create practice THE CLEAR THE identification THE ResouRCes AND CLEARANCE THE facts before publication THE news , with focus THE SPECIAL IN source identification THE FrONt THE information ."
Kosovo,truth/facts,"Print media MUST THE verify INFORMATION ahead publication , so THAT THE ensures that the information IS The really , of BASED IN facts AND The reliable"
Kosovo,accuracy,Encouraged THAT information The such THE not published UP IN verification .
Kosovo,distortion/manipulation,"Media MUST THE HAVE caution IN verification of all SPECIES THE lamas THE fake , of displayed IN Deepfake form or forms of other THE Pages THE advanced , of created with the help of intelligence artificial ."
Kosovo,privacy,"When using intelligence artificial , media MUST THE respect protection principles OF THE THE DATA personal , security OF THE INFoRmATIoN AND non-discrimination ."
Kosovo,discrimination/stereotypes,"When using intelligence artificial , media MUST THE respect protection principles OF THE THE DATA personal , security OF THE INFoRmATIoN AND non-discrimination ."
Kosovo,transparency,"Media ARE THE Mandatory TO inform readers IN ORDER THE Adequate ABOUT use of intelligence artificial IN content creation medial , with the note that in which segment and what Business The intelligence artificial IS USING AND HOW it works ."
Kosovo,discrimination/stereotypes,"The print media will RELATED everything IN their power to THE not to encourage or nourish resentment AND inequality , in writings , opinions or comments"
Kosovo,privacy,"The print media will be avoid INTERFERENCE AND Researches IN private life A the individual , except IN CASES when such interventions or research are THE NEEDED ABOUT reason THE INTEREST public ."
Kosovo,objectivity,"Conflict The INTEREST bear BY A SITUATIONS IN THE which one journalist , editor or media in the whole is of interest private , that affects , can THE affect OR it seems to affect IN impartial performance AND objectivity THE duty ."
Latvia,verification,The main task of a journalist is to provide society with true and verified information.
Latvia,truth/facts,The main task of a journalist is to provide society with true and verified information.
Latvia,distortion/manipulation,"The facts should be set forth objectively and clearly, stressing major links and with no misrepresentations."
Latvia,objectivity,"The facts should be set forth objectively and clearly, stressing major links and with no misrepresentations."
Latvia,source/disclosure,A journalist should be critical in the choice of sources. The information should be checked and statements quoted should be verified.
Latvia,verification,A journalist should be critical in the choice of sources. The information should be checked and statements quoted should be verified.
Latvia,privacy,"In his writings, a journalist must always respect a person's private life, nationality, race and religion"
Latvia,distortion/manipulation,"Special attention should be paid to using pictures out of their original context. Manipulation is inadmissible, as it generates wrong ideas."
Latvia,graphics/visualisation,"Special attention should be paid to using pictures out of their original context. Manipulation is inadmissible, as it generates wrong ideas."
Lithuania,fairness,"understanding that the basis for such trust is independence, fairness, impartiality and professionality;"
Lithuania,truth/facts,must publish accurate and correct news
Lithuania,accuracy,must publish accurate and correct news
Lithuania,truth/facts,"Journalists, producers and the communicators of public information must ensure that an opinion is expressed honestly and ethically, without deliberately distorting the facts or data."
Lithuania,distortion/manipulation,"Journalists, producers and the communicators of public information must ensure that an opinion is expressed honestly and ethically, without deliberately distorting the facts or data."
Lithuania,data,"Journalists, producers and the communicators of public information must ensure that an opinion is expressed honestly and ethically, without deliberately distorting the facts or data."
Lithuania,verification,"Journalists, producers and the communicators of public information must assess their information sources critically, check the facts attentively and carefully, and also use at least two sources."
Lithuania,source/reliability,"Journalists, producers and the communicators of public information must assess their information sources critically, check the facts attentively and carefully, and also use at least two sources."
Lithuania,source/disclosure,"Journalists, producers and the communicators of public information must assess their information sources critically, check the facts attentively and carefully, and also use at least two sources."
Lithuania,distortion/manipulation,"Journalists, producers and the communicators of public information must make sure that the headlines, trailer material, photos, graphics, audios and videos and the quotes published do not distort the work or mislead the user of the information."
Lithuania,graphics/visualisation,"Journalists, producers and the communicators of public information must make sure that the headlines, trailer material, photos, graphics, audios and videos and the quotes published do not distort the work or mislead the user of the information."
Lithuania,truth/facts,"the inaccurate facts must be corrected and wrong facts must be denied immediately in an adequate location of the same mass media, without any further comments."
Lithuania,privacy,"they must prioritise the protection of a private life when providing information about a private person, while public interest is the priority in the case of a public person."
Lithuania,transparency,"INDEPENDENCE AND TRANSPARENCY OF THE ACTIVITIES OF JOURNALISTS, PRODUCERS AND THE COMMUNICATORS OF PUBLIC INFORMATION"
Lithuania,objectivity,"Journalists, producers and the communicators of public information who prepare any information on companies and organisations must disclose their connections with them, and the circumstances which, if concealed, could reduce the objectivity of the information provided."
